src,tgt
meanie,rude
meanie,unfriendly
meanie,bully
rude,brusque
rude,surly
snagging,hitch
snagging,fishing
snagging,difficulty
sawyer,island
sawyer,tom
sawyer,book
island,maltese
island,virgin
island,haiti
island,desmond
atone,forgive
atone,repent
atone,sin
forgive,release
forgive,judgemant
forgive,mistake
forgive,forget
forgive,forgotten
unwind,calm
unwind,peace
unwind,relaxation
unwind,loosen
calm,easygoing
calm,docile
brunette,dark
brunette,woman
brunette,hair
dark,black
dark,gothic
dark,occult
dark,hole
womankind,empowermant
womankind,strength
womankind,equality
empowermant,feminism
empowermant,feminist
long,time
long,duration
long,length
long,shoelace
long,eyelash
long,anteater
time,past
time,magazine
time,clock
time,year
time,period
time,45
time,t
time,sixty
time,twenty
time,warp
time,gregorian
time,eon
time,era
time,oldest
time,epoch
time,century
time,age
time,tenet
time,bide
time,bygone
bedtime,pillow
bedtime,sleep
bedtime,night
pillow,bed
pillow,comfort
pillow,sleep
pillow,cushion
pillow,soft
pillow,comfortable
pillow,padding
pillow,cushioned
pillow,pillowcase
pillow,softness
pillow,fuzz
pillow,fluff
pillow,cot
hell,sin
hell,fire
hell,brimstone
hell,infernal
hell,purgatory
hell,afterlife
hell,damnation
hell,satan
sin,evil
sin,wrongdoing
sin,punishmant
sin,forgiven
sin,absolution
sin,badness
sin,confess
sin,holier
sin,unholy
sin,damned
sin,temptation
sin,damnation
sin,godlessness
sin,penance
empathic,understanding
empathic,compassionate
empathic,emotion
understanding,sympathy
understanding,sympathize
understanding,forgiving
understanding,empathetic
understanding,tolerance
understanding,sympathetic
understanding,empathy
understanding,reconciliation
understanding,tolerant
crucify,jesus
crucify,sacrifice
crucify,cross
jesus,bible
jesus,religion
jesus,christ
jesus,christianity
jesus,crucifixion
jesus,nazareth
jesus,magdalene
jesus,nativity
jesus,crucifix
jesus,apostle
dappled,spotted
dappled,light
dappled,horse
spotted,cheetah
spotted,leopard
spotted,dot
spotted,noticed
spotted,hyena
moore,detective
moore,film
moore,actor
detective,noir
detective,baskerville
detective,conan
appropriation,money
appropriation,culture
appropriation,authority
money,prostitute
money,save
money,dollar
money,wad
money,saved
money,greenback
money,banker
money,pocket
money,fifty
money,businessman
money,alimony
money,whore
money,buck
money,1000
money,euro's
money,million
money,billion
money,thousand
acknowledgemant,gratitude
