src,tgt
sympathize,relate
sympathize,empathy
sympathize,feel
sympathize,emphatize
relate,emphatize
unwind,calm
unwind,loosen
unwind,relax
calm,tamer
calm,tame
calm,smoothly
brunette,dark
brunette,color
brunette,hair
dark,inky
dark,black
dark,noir
dark,nocturnal
dark,age
dark,gothic
dark,melanin
dungaree,jean
dungaree,pant
dungaree,denim
jean,fabric
jean,pant
jean,denim
jean,levi
jean,vaquero
pat,father
pat,day
pat,name
pat,frisk
father,parent
father,male
father,dad
father,sire
father,daddy
father,parenthood
father,paternal
father,trinity
father,parental
father,papa
wolverine,animal
wolverine,fierce
wolverine,claw
animal,creature
animal,wildlife
animal,nature
animal,spotted
animal,tiger
animal,striped
animal,squirrel
animal,donkey
animal,cat
animal,moose
animal,hedgehog
animal,deer
animal,horse
animal,rutting
animal,platypus
animal,duckbill
animal,skunk
animal,hare
animal,wool
animal,pet
animal,panda
animal,predator
animal,yowl
animal,prey
animal,dog
animal,furry
animal,neuter
animal,ursine
animal,rhino
animal,horn
animal,wagging
animal,goat
animal,stray
animal,mating
animal,marsupial
animal,rhinoceros
animal,pooch
animal,coyote
animal,monkey
animal,primate
animal,roadkill
animal,yak
animal,alpaca
animal,mongoose
animal,quadruped
animal,beast
animal,mole
animal,vet
animal,growl
animal,veterinarian
animal,rabbit
animal,varmint
animal,feral
animal,marmot
animal,sheep
animal,hoof
animal,scavenger
animal,mink
animal,mustelid
animal,reindeer
animal,giraffe
animal,potamus
animal,wombat
animal,mammal
animal,puma
animal,pachyderm
animal,howl
animal,gazelle
animal,equine
animal,ewe
animal,cage
animal,domesticated
animal,ox
animal,pus
animal,fur
animal,aardvark
animal,ram
animal,hyena
animal,claw
animal,pounce
animal,feline
animal,pelt
animal,cub
animal,woodchuck
animal,jaguar
animal,vertebrate
animal,herd
animal,orangutan
animal,wolf
animal,pony
animal,doe
animal,elk
animal,possum
animal,raccoon
animal,zebra
animal,fox
animal,beaver
animal,gopher
animal,tail
animal,bat
animal,panther
animal,gnu
animal,porcupine
animal,opossum
animal,bison
animal,paw
animal,critter
animal,weasel
animal,wallaby
animal,baboon
animal,chipmunk
animal,spiny
animal,burrow
animal,warm-blooded
animal,llama
animal,stripey
animal,petting
animal,groundhog
animal,trapper
animal,cheetah
animal,duck-billed
animal,vicuna
animal,zoo
empathic,understanding
empathic,feeling
empathic,sensitive
understanding,sympathy
understanding,empathy
understanding,tolerance
understanding,empathetic
understanding,sympathetic
protects,safeguard
protects,secures
protects,defends
protects,save
crucify,jesus
crucify,nail
crucify,cross
jesus,savior
jesus,christianity
jesus,christ
jesus,christian
jesus,kain
jesus,nativity
jesus,apostle
jesus,messiah
jesus,crucifix
jesus,nazareth
jesus,crucifixion
lupine,canine
lupine,wild
lupine,wolf-like
canine,furry
canine,dog
canine,pet
canine,jackal
canine,coyote
canine,mutt
canine,wolf
dappled,spotted
dappled,color
dappled,pattern
spotted,pattern
spotted,dot
spotted,mottled
spotted,freckled
spotted,dalmatian
spotted,leopard
spotted,dotty
spotted,jaguar
spotted,spotty
spotted,cheetah
cordial,welcoming
cordial,friendly
cordial,warm
cordial,kindly
welcoming,kind
welcoming,inviting
welcoming,friendly
welcoming,accepting
welcoming,approachable
welcoming,hospitality
welcoming,hospitable
immodest,improper
immodest,bold
immodest,revealing
lassie,collie
lassie,dog
lassie,show
collie,breed
collie,herding
collie,dog
depreciate,reduce
depreciate,lessen
depreciate,value
reduce,slimmer
reduce,thinner
tiger,striped
tiger,wild
tiger,bengal
striped,stripe
striped,pattern
striped,zebra
gr,abbreviation
gr,gram
gr,measure
