src,tgt
meanie,rude
meanie,unkind
meanie,bully
rude,gruff
sawyer,island
sawyer,adventure
sawyer,lost
island,turk
island,shetland
island,crete
island,haiti
atone,forgive
atone,amand
atone,repent
forgive,mercy
forgive,apologize
forgive,forget
forgive,reconcile
forgive,repent
unwind,calm
unwind,rest
unwind,relax
calm,gentle
calm,gentleness
calm,laid-back
calm,repose
garb,waste
garb,clothes
garb,trash
waste,trashy
waste,discarded
empathic,understanding
empathic,compassion
empathic,listen
understanding,empathy
understanding,forgiving
understanding,sympathetic
understanding,empathetic
exquisite,craftsmanship
exquisite,luxury
exquisite,art
crucify,jesus
crucify,nail
crucify,cross
jesus,bible
jesus,church
jesus,god
jesus,crucifix
jesus,biblical
jesus,crucifixion
jesus,nazareth
jesus,christianity
jesus,apostle
prostitute,work
prostitute,sex
prostitute,escort
prostitute,whore
prostitute,pimp
prostitute,harlot
prostitute,slut
work,coverall
work,overall
work,adult
work,donkey
undressed,clothes
undressed,naked
undressed,exposed
clothes,shoe
clothes,shirt
clothes,pant
clothes,disrobe
clothes,zipper
clothes,dress
clothes,coverall
clothes,button
clothes,closet
clothes,hanger
clothes,outfit
clothes,fit
clothes,wardrobe
clothes,dressed
clothes,dresser
clothes,softener
clothes,sleeve
clothes,stain
clothes,lint
clothes,drawer
clothes,rack
clothes,valentino
clothes,baggy
clothes,jumper
clothes,ironed
clothes,wearing
clothes,wear
clothes,undress
clothes,underpants
wilt,fade
wilt,dry
wilt,flower
wilt,shrivel
fade,wither
primitive,tool
primitive,fire
primitive,cave
primitive,undeveloped
tool,workman
tool,edger
tool,neolithic
tool,awl
tool,hoe
tool,unscrew
leg,knee
leg,walk
leg,foot
leg,footstool
leg,chair
leg,lunge
leg,hairy
leg,thigh
leg,stocking
leg,footrest
leg,ankle
leg,biped
knee,pad
stuntman,action
stuntman,film
stuntman,danger
penance,forgiveness
penance,repentance
penance,sacrifice
penance,contrition
penance,atonemant
forgiveness,mercy
forgiveness,apology
forgiveness,healing
forgiveness,atonemant
forgiveness,redemption
forgiveness,repentance
forgiveness,sin
forgiveness,absolution
herd,cow
herd,group
herd,animal
herd,buffalo
herd,bison
cow,manatee
cow,bull
cow,ox
cow,hoof
cow,quadruped
clergy,church
clergy,priest
clergy,religion
clergy,priesthood
clergy,reverend
clergy,deacon
clergy,bishop
church,altar
church,priest
church,worship
church,catholic
church,cathedral
church,cardinal
church,vatican
church,communion
church,pope
church,religious
church,baptism
church,catholicism
church,friar
church,priesthood
church,methodist
church,christian
church,chapel
church,pew
church,anglican
church,pulpit
church,vicarage
church,aman
church,parish
church,cloister
church,spire
church,saint
church,abbey
church,evangelical
church,reverend
church,deacon
church,clergyman
church,pentecostal
church,christianity
church,preacher
church,nun
church,steeple
church,sermon
church,preach
church,gospel
church,mormon
church,pray
church,homily
church,baptize
church,christening
church,presbyterian
church,laity
church,christ
church,protestant
church,reformation
church,baptist
church,sacramant
church,vicar
church,congregation
church,bishop
church,benediction
church,missionary
church,pastor
condom,protection
condom,safe
condom,latex
condom,contraception
protection,pad
protection,endangered
protection,coverall
protection,contraceptive
protection,vest
protection,shielding
protection,preservation
protection,prevention
heaving,wave
heaving,effort
heaving,ocean
wave,hi
wave,battering
wave,curly
wave,curl
wave,oscillator
wave,beckon
baa,lamb
baa,flock
baa,sheep
lamb,pasture
lamb,sheep
lamb,wool
lamb,mary
relative,kin
relative,family
relative,ancestor
relative,in-law
relative,cousin
kin,strength
kin,movemant
kin,muscle
kin,kith
reproduce,copy
reproduce,create
reproduce,replicate
reproduce,copulate
copy,duplicate
copy,documant
copy,book
copy,mimic
copy,imitates
bangladesh,cricket
bangladesh,river
bangladesh,dhaka
cricket,bat
cricket,bowler
cricket,batting
right-wing,conservative
right-wing,politics
right-wing,republican
conservative,right
conservative,politics
conservative,tradition
conservative,tory
conservative,prude
conservative,orthodox
conservative,prudish
germaine,name
germaine,person
germaine,identity
name,title
name,label
name,identity
name,abby
name,joan
name,rico
name,phil
name,paul
name,parker
name,frank
name,jacob
name,surname
name,jane
name,billy
name,introduce
name,tracy
name,linnie
name,forename
name,steven
name,ralph
name,dean
name,randy
name,terry
name,marco
name,jay
name,aaron
name,christen
12,count
12,math
12,number
count,45
count,10
count,thousand
legacy,heritage
legacy,tradition
legacy,inheritance
heritage,tradition
heritage,history
heritage,culture
heritage,lineage
heritage,descendant
heritage,ancestor
heritage,traditional
heritage,surname
heritage,parentage
heritage,forebear
heritage,forefather
heritage,ancestry
heritage,preservation
heritage,cultural
slapstick,comedy
slapstick,prank
slapstick,clown
comedy,costello
comedy,stooge
comedy,burlesque
chelsea,blue
chelsea,football
chelsea,london
blue,stevie
blue,booby
blue,mackerel
blue,jean
blue,lupine
blue,jay
tights,nylon
tights,dance
tights,legging
tights,denier
nylon,fabric
nylon,stocking
nylon,hosiery
nylon,pantyhose
nylon,denier
complimant,praise
complimant,appreciation
complimant,kindness
complimant,flattering
praise,applause
praise,admiration
praise,hallelujah
praise,flattering
praise,laud
praise,exalt
praise,admired
sleeveless,top
sleeveless,shirt
sleeveless,summer
top,dress
top,shirt
top,hat
top,blouse
twisted,bent
twisted,knot
twisted,spiral
twisted,warped
twisted,gnarled
bent,warped
clipper,trim
clipper,scissors
clipper,haircut
trim,cut
trim,reduce
trim,shorten
trim,snip
heathen,unbeliever
heathen,irreligious
heathen,pagan
unbeliever,skeptic
unbeliever,atheist
unbeliever,doubter
unbeliever,infidel
leathery,texture
leathery,tough
leathery,skin
texture,smooth
texture,grainy
texture,rough
texture,woven
texture,crinkle
texture,shag
texture,patterned
texture,crinkled
jackal,scavenger
jackal,desert
jackal,wild
scavenger,search
scavenger,collect
scavenger,hunt
pixel,screen
pixel,display
pixel,image
screen,filmy
hallelujah,choir
hallelujah,gospel
starry,sky
starry,night
starry,twinkle
sky,heavenly
sky,peregrine
bop,dance
bop,music
bop,rhythm
dance,groovy
dance,prom
dance,tutu
dance,ballet
dance,graceful
dance,polka
dance,swaying
dance,hip
dance,striptease
dance,leotard
dance,pole
dance,pirouette
dance,twirl
dance,pointe
dance,stripper
dance,ballerina
feminine,grace
feminine,beauty
feminine,woman
feminine,effeminate
feminine,womanly
feminine,tampon
grace,charm
grace,poise
grace,elegance
grace,bless
grace,elan
grace,blessing
grace,modesty
grace,beauty
grace,ballet
grace,goodness
grace,lady
grace,pirouette
grace,finesse
rayon,synthetic
rayon,thread
rayon,fabric
synthetic,man-made
synthetic,artificial
synthetic,plastic
synthetic,polyester
virginal,innocent
virginal,pure
virginal,untouched
innocent,virgin
innocent,cherubic
lap,office
lap,desk
lap,computer
office,suit
office,businessman
office,dean
moroni,lds
moroni,mormon
moroni,angel
cord,string
cord,wire
cord,cable
cord,umbilical
cord,spinal
string,untie
string,yo-yo
string,plucking
string,navel
string,tying
string,twine
string,spool
bye,output farewell
bye,goodbye
bye,see
amiable,warm
amiable,friendly
amiable,kind
warm,fire
warm,summer
warm,hot
warm,friendly
warm,pullover
warm,jacket
